BRAND,MODEL,YEAR,CAT,MONTH,COMPLAINTS,SERIOUS,INVESTIGATIONS,C3,P3,S3,I3,ALERT,Y3,Y6,Y12
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
